City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
466,embonas,36.2269,27.8564,6.07,83,91,1.62,GR,1675565027
467,lishui,28.4604,119.9103,11.35,84,91,0.44,CN,1675565027
468,luderitz,-26.6481,15.1594,17.51,86,72,6.79,NA,1675565028
469,dezhou,37.4486,116.2925,7.65,41,99,7.29,CN,1675565028
470,lagoa,39.05,-27.9833,15.14,88,59,9.59,PT,1675565029
471,coihaique,-45.5752,-72.0662,21.97,53,0,1.03,CL,1675565029
472,jega,12.2175,4.3792,22.89,17,64,3.05,NG,1675565030
473,bolobo,-2.1667,16.2333,23.01,83,100,1.51,CD,1675565031
474,pangnirtung,66.1451,-65.7125,-35.02,100,100,0.57,CA,1675565031
475,kawalu,-7.3817,108.2082,25.51,73,100,0.43,ID,1675565032
476,sargur,11.9833,76.4167,21.84,60,43,1.64,IN,1675565032
477,fort collins,40.5853,-105.0844,9.09,38,0,6.17,US,1675565021
478,salto,-31.3833,-57.9667,18.81,39,0,2.54,UY,1675564833
479,sungairaya,0.7,108.9,28.67,70,100,0.93,ID,1675565033
480,sao marcos,-28.9711,-51.0681,16.7,97,58,0.6,BR,1675565033
481,slave lake,55.2834,-114.769,-1.01,100,100,0.0,CA,1675565034
482,shancheng,34.7953,116.0817,8.9,44,3,4.48,CN,1675565034
483,baghpat,28.95,77.2167,13.04,59,0,2.99,IN,1675565035
484,baringo,0.4667,35.9667,18.84,55,97,3.42,KE,1675565035
485,logansport,40.7545,-86.3567,4.4,63,100,8.42,US,1675565036
486,loiza,18.4313,-65.8802,23.99,91,20,1.54,PR,1675565036
487,haicheng,40.8516,122.7475,5.13,34,8,7.73,CN,1675565037
488,road town,18.4167,-64.6167,25.02,94,20,3.6,VG,1675564963
489,praia da vitoria,38.7333,-27.0667,15.42,94,40,6.84,PT,1675565038
490,podor,16.6527,-14.9587,18.79,15,88,4.98,MR,1675565038
491,tabou,4.423,-7.3528,25.66,87,14,3.18,CI,1675565013
492,kidal,18.4411,1.4078,18.25,12,84,4.81,ML,1675565039
493,bartow,27.8964,-81.8431,18.14,76,6,3.49,US,1675565039
494,malindi,-3.2175,40.1191,23.69,88,21,2.77,KE,1675564827
495,odesskoye,54.2111,72.9651,-23.75,100,87,1.96,RU,1675565040
496,port macquarie,-31.4333,152.9167,27.72,42,0,3.95,AU,1675564755
497,buba,11.5833,-15.0,19.06,70,39,0.3,GW,1675565041
498,whitehorse,60.7161,-135.0538,-11.1,82,100,0.0,CA,1675565041
